"SMILES","EXTERNALID","N","INTRODUCER","MODIFIER","AMES {measured}","COMMENTS"
"CN(C)C1=CC=C(C=C1)C(=C1C=CC(C=C1)=[N+](C)C)C1=C(O)C(=CC2=C1C=CC(=C2)S(O)(=O)=O)S(O)(=O)=O","-","4343","midnighter","published","inactive","-"
"CC(=O)OC1=C(OC(C)=O)C2=C3C(=CC=C2N(=O)=O)C2=C(C=CC=C2)C2=C3C1=CC=C2","-","4344","midnighter","published","active","-"
"CCCCCCCCCCCCC1=CC=CC=C1","-","4345","midnighter","published","inactive","-"
"CCC1=CC=CC(CC)=C1N(COC)C(=O)CO","-","4346","midnighter","published","inactive","-"
"CC1CC2=C(C3C(C=C(C)C2=O)C(CCC3=C)C(C)=C)C1=O","-","4347","midnighter","published","inactive","-"
"ClC1=CC(=CC=C1)N(=O)=O","-","4348","midnighter","published","inactive","-"
"OCC1=CC(=O)C(O)=CO1","-","4349","midnighter","published","active","-"
"OC1=CC=C(Cl)C=C1","-","4350","midnighter","published","inactive","-"
"O=C([C@H]1O[C@@H]1C1=CC=CC=C1)C1=CC=CC=C1","-","4351","midnighter","published","active","-"
"ONC1=CC=C(Cl)C=C1","-","4352","midnighter","published","inactive","-"
"C[C@@H]1CCCC[C@H]1NC(=O)NC1=CC=CC=C1","-","4353","midnighter","published","inactive","-"
"ClC1=CC=CC2=C1OC1=C2C=CC=C1","-","4354","midnighter","published","inactive","-"
"ClC1=CC(=CC(Cl)=C1Cl)N(=O)=O","-","4355","midnighter","published","active","-"
"CC(=O)NC1=CC=C2C(CC3=CC(O)=CC=C23)=C1","-","4356","midnighter","published","active","-"
"COC1COC(COCC2COC(OC)C(OS(O)(=O)=O)C2OS(O)(=O)=O)C(OS(O)(=O)=O)C1OS(O)(=O)=O","-","4357","midnighter","published","inactive","-"
"OC(CC1=CN(N=O)C2=C1C=CC=C2)C(O)=O","-","4358","midnighter","published","active","-"
"COC(=O)NC1=NC2=C(N1)C=CC=C2","-","4359","midnighter","published","active","-"
"ClCC1=CC=CC2=C1C1=CC=CC3=CC=CC2=C13","-","4360","midnighter","published","active","-"
"CCCN(CCC)N=O","-","4361","midnighter","published","active","-"
"BrCC(Br)C1=CC=CC=C1","-","4262","midnighter","published","active","-"
"C1CCC2OCCOCCOC3CCCCC3OCCOCCOCCOC2C1","-","4263","midnighter","published","inactive","-"
"CC1=C(C(=C(C(C)=C1N(=O)=O)N(=O)=O)C(C)(C)C)N(=O)=O","-","4264","midnighter","published","inactive","-"
"CC1=C(C)C(N)=C(C)C(C)=C1N","-","4265","midnighter","published","inactive","-"
"N1C=CN=C1","-","4266","midnighter","published","inactive","-"
"CC1=CC=CC=C1NS(=O)(=O)C1=CC=CC2=C1N=CC=C2","-","4267","midnighter","published","inactive","-"
"OCC1=C2C=CC3=C(C=CC=C3)C2=C(CO)C2=C1C=CC=C2","-","4268","midnighter","published","active","-"
"COC1=CC=CC(=C1)C(=O)CBr","-","4269","midnighter","published","inactive","-"
"CC1=CC=C2C=C3C(C=CC4=C3[C@H](O)[C@H](O)C=C4)=C3CCC1=C23","-","4270","midnighter","published","active","-"
"CC(=O)NC1=CC=CC2=C1N=CC(F)=C2","-","4271","midnighter","published","active","-"
"NC1=CC=C(\C=C\C2=CC=CC(N)=C2)C=C1","-","4272","midnighter","published","active","-"
"CC(C)OC(=O)\C=C\C1=CC=C(O1)N(=O)=O","-","4273","midnighter","published","active","-"
"OC1=CC(=O)C(=O)C2=CC=CC=C12","-","4274","midnighter","published","active","-"
"Cl\C=C/C[N+]12CN3CN(CN(C3)C1)C2","-","4275","midnighter","published","active","-"
"CC1=CC=C(C=C1N(=O)=O)C(O)=O","-","4276","midnighter","published","active","-"
"C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](CC[C@]34C)OC(=O)CC3=CC=C(C=C3)N(CCCl)CCCl)[C@@H]1CCC(=O)N2","-","4277","midnighter","published","active","-"
"ON1N=NC2=C1C=CC=C2","-","4278","midnighter","published","inactive","-"
"CCC1=C(Br)C(Br)=C(Br)C(Br)=C1Br","-","4279","midnighter","published","inactive","-"
"O=C1C=CC(=O)C=C1","-","4280","midnighter","published","inactive","-"
"ClCl","-","4281","midnighter","published","inactive","-"
"OC1=CC=CC2=C1C=CC=C2","-","4282","midnighter","published","inactive","-"
"CC1=CC(O)=C2C(=O)C3=CC=CC=C3C(=O)C2=C1O","-","4283","midnighter","published","active","-"
"CC(C)CC(=O)OCC1=COC=C2C(C=O)=CC=C12","-","4284","midnighter","published","active","-"
"O[C@H]1[C@H]2O[C@]22C3=C(C4=C2C(=CC=C4)[C@@H]1O)C1=C(C=CC=C1)C=C3","-","4285","midnighter","published","active","-"
"CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC","-","4286","midnighter","published","inactive","-"
"CC1=CC(OP(=O)(OC2=CC(C)=CC=C2)OC2=CC=CC(C)=C2)=CC=C1","-","4287","midnighter","published","inactive","-"
"ClCC(CCl)(CCl)CCl","-","4288","midnighter","published","inactive","-"
"OC1C=CC2=CC=C3C(SC4=C3C=CC=C4)=C2C1O","-","4289","midnighter","published","inactive","-"
"C=CC1=CC=NC=C1","-","4290","midnighter","published","inactive","-"
"CCCCCCCCC(Cl)CCC(Cl)CC(Cl)C(Cl)C(Cl)CC(=O)OC","-","4291","midnighter","published","inactive","-"
"COP(=O)(OC)OC1=CC=C(C(C)=C1)N(=O)=O","-","4292","midnighter","published","active","-"
"CC(C)NCC(O)C1=CC=C2C=CC=CC2=C1","-","4293","midnighter","published","inactive","-"
"N[C@H]1CC[C@H](N)CC1","-","4294","midnighter","published","inactive","-"
"NC1=NC(NO)=C2NC=NC2=N1","-","4295","midnighter","published","active","-"
"O=C1OC2=C(C=CC=C2N(=O)=O)C2=CC=CC=C12","-","4296","midnighter","published","active","-"
"Cl[C@]12[C@]3(Cl)[C@@]4(Cl)[C@]5(Cl)[C@](Cl)([C@]1(Cl)C4(Cl)Cl)[C@@]2(Cl)C(Cl)(Cl)[C@]35Cl","-","4297","midnighter","published","inactive","-"
"NC(CS)C(=O)NCC(O)=O","-","4298","midnighter","published","active","-"
"CNC(=O)ONC(C)=O","-","4299","midnighter","published","active","-"
"CC1=CC=C(C(N)=C1)N(=O)=O","-","4300","midnighter","published","inactive","-"
"CC1=CC=C2C=C3C(C4NC4C4=CC=CC=C34)=C3CCC1=C23","-","4301","midnighter","published","active","-"
"FC1=CC=NC2=C1C=CC=C2","-","4302","midnighter","published","active","-"
"CCN(CC)CCNC1=CC=C(C)C2=C1C(=O)C1=CC=CC=C1S2","-","4303","midnighter","published","active","-"
"CC1=CC=CC(C)=C1O","-","4304","midnighter","published","inactive","-"
"COCOC","-","4305","midnighter","published","inactive","-"
"NCCCS(=O)(=O)NC1=CC=C(NC2=C3C=CC(=CC3=NC3=C2C=CC(=C3)N=[N]#N)N=[N]#N)C=C1","-","4306","midnighter","published","active","-"
"CCOC(=O)CNC(=O)C(C)(C)Br","-","4307","midnighter","published","inactive","-"
"OC1=CC=C(O)N=N1","-","4308","midnighter","published","inactive","-"
"CC1=CC=CC(N)=C1C","-","4309","midnighter","published","active","-"
"OC1=CC=C(C(=C1)N(=O)=O)N(=O)=O","-","4310","midnighter","published","active","-"
"CC1=CC=CC=C1C#N","-","4311","midnighter","published","inactive","-"
"CC1=CC=C(NC2=CC=C(N)C3=C2C(=O)C2=CC=CC=C2C3=O)C(=C1)S(O)(=O)=O","-","4212","midnighter","published","active","-"
"OC1=CC=C2C=CC3=C4C(C=CC1=C24)=C(C=C3)N(=O)=O","-","4213","midnighter","published","active","-"
"CC1=CC(=O)C=C2CCC3C4CCC(=O)C4(C)CCC3C12C","-","4214","midnighter","published","inactive","-"
"OC(CN=[N]#N)CN1C=NC2=C1N=CN=C2Cl","-","4215","midnighter","published","active","-"
"O=C1C2=CC=CC=C2C2=CC=C3C(=O)C4=CC=CC=C4C4=CC=C1C2=C34","-","4216","midnighter","published","inactive","-"
"CC1=C2C=CC(CO)=CC2=NC2=C1C=CC1=C2C=CC=C1","-","4217","midnighter","published","active","-"
"CC1=CC=C(C)C2=C1NC1=C2C=C(C=C1)N(=O)=O","-","4218","midnighter","published","active","-"
"COC1=CC=C(C=C1)C(=O)N1N=CC(Cl)=C(Cl)C1=O","-","4219","midnighter","published","inactive","-"
"CCC1OC1C1=CC=CC=C1","-","4220","midnighter","published","inactive","-"
"CC(C)OC1=CC=C(NC2=CC=CC=C2)C=C1","-","4221","midnighter","published","inactive","-"
"O=N(=O)C1=CC=C(O1)\C=N\N1C=CC=N1","-","4222","midnighter","published","active","-"
"O[C@@H]1CC(=O)C2=C(O)C=CC3=C2[C@]1(O)[C@@H]1CCC(=O)C2=C1C3=CC=C2O","-","4223","midnighter","published","active","-"
"O=N(=O)C1=CC2=C3C1=CC=CC3=CC1=C2C=CC2=C1C=CC=C2","-","4224","midnighter","published","active","-"
"OC(=O)CC1=CC=C(O)C(O)=C1","-","4225","midnighter","published","active","-"
"ONC(=O)CNC(=O)C1=CC=CC=C1","-","4226","midnighter","published","active","-"
"FC(F)=C(F)Cl","-","4227","midnighter","published","inactive","-"
"CN1[C@@H](CSCC(F)(F)F)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O","-","4228","midnighter","published","inactive","-"
"O[C@@H]1C=CC2=C(C=CC3=C2C=C(C2=C3C=CC=C2)N(=O)=O)[C@H]1O","-","4229","midnighter","published","active","-"
"C1CN(CCO1)SSN1CCOCC1","-","4230","midnighter","published","inactive","-"
"CC(C)C(=O)N(O)C1=CC=C(Cl)C=C1","-","4231","midnighter","published","active","-"
"OCCN(CCO)C1=NC(=NC2=C1C=CC=C2)C1=CC=CS1","-","4232","midnighter","published","inactive","-"
"OCCNCCN1C2=C(C(=O)C3=CC=CC=C23)C2=CC=CC=C2C1=O","-","4233","midnighter","published","inactive","-"
"CCOC(=O)CNC(=O)C=[N+]=N","-","4234","midnighter","published","active","-"
"NC1=CC=C2C(C=CC3=C2C=CC=C3)=C1","-","4235","midnighter","published","active","-"
"C1C[C@H](O[C@H]2CC[C@@H]3O[C@H]23)[C@H]2O[C@@H]12","-","4236","midnighter","published","inactive","-"
"NC1=CC=C(OC2=CC=CC=C2)C=C1","-","4237","midnighter","published","active","-"
"NCCCN1CCN(CCCN)CC1","-","4238","midnighter","published","inactive","-"
"CCOC(=O)N(C)C","-","4239","midnighter","published","active","-"
"CC1=CC=CS1","-","4240","midnighter","published","inactive","-"
"Cl[Si](Cl)(Cl)Cl","-","4241","midnighter","published","inactive","-"
"CO","-","4242","midnighter","published","inactive","-"
"NC1=CC=C(Cl)C(=C1)C(F)(F)F","-","4243","midnighter","published","inactive","-"
"CC=C","-","4244","midnighter","published","active","-"
"CC1=CC=C(NC(=O)CBr)C=C1","-","4245","midnighter","published","inactive","-"
"CC(C)NC(=O)\C=C/C1=CC=C(O1)N(=O)=O","-","4246","midnighter","published","active","-"
"COC1=CC=C(CNC(=O)C(C)Br)C=C1OC","-","4247","midnighter","published","active","-"
"OC1=CC=CC2=C1C=CC1=C2C=C2C=CC=C3C=CC1=C23","-","4248","midnighter","published","active","-"
"N[C@H](CN=[N+]=N)C(O)=O","-","4249","midnighter","published","active","-"
"CC(C)=C\C(C)=N\NC1=NN=CC2=C1C=CC=C2","-","4250","midnighter","published","active","-"
"CC(=O)NC(CSCCCl)C(O)=O","-","4251","midnighter","published","active","-"
"O=N(=O)C1=CC=C2C3=CC=CC4=C(C=CC(C2=C1)=C34)N(=O)=O","-","4252","midnighter","published","active","-"
"CCCCCCCCCCCCCCCCCC(O)=O","-","4253","midnighter","published","inactive","-"
"O=N(=O)C1=CC=C(SSC2=CC=C(C=C2)N(=O)=O)C=C1","-","4254","midnighter","published","active","-"
"CCC1=CC=CO1","-","4255","midnighter","published","inactive","-"
"ClC(Cl)=C(Cl)C(\Cl)=C(/Cl)SCC1=CC=CC=C1","-","4256","midnighter","published","active","-"
"CC(C)C(O)(C(C)O)C(=O)OCC1=CCN2CCC(O)C12","-","4257","midnighter","published","inactive","-"
"N(C1=CC=C(NC2=CC=C3C=CC=CC3=C2)C=C1)C1=CC=C2C=CC=CC2=C1","-","4258","midnighter","published","active","-"
"ClC1=CC=CC=C1C=C(C#N)C#N","-","4259","midnighter","published","active","-"
"BrC1=CC=C(C=C1)C1OC1C(=O)C1=CC=CC=C1","-","4260","midnighter","published","inactive","-"
"ClCCN(CCCl)P1(=O)NC(=O)CCO1","-","4261","midnighter","published","active","-"
"ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1","-","4162","midnighter","published","inactive","-"
"C(C(C1CCCCC1)C1CCCCC1)[C@H]1CCCCN1","-","4163","midnighter","published","inactive","-"
"ClC1=C(Cl)C(=O)C(Cl)(Cl)C1=O","-","4164","midnighter","published","inactive","-"
"CCOC(=O)C(=NNC1=CC=C(C=C1Cl)C1=CC=C(NN=C(C(=O)OCC)C(=O)OCC)C(Cl)=C1)C(=O)OCC","-","4165","midnighter","published","inactive","-"
"CN(C)C1=CC=C(\C=C\C2=CC=CC=C2)C=C1","-","4166","midnighter","published","active","-"
"CN1N=C(C=C1N)C1CC1","-","4167","midnighter","published","active","-"
"C[C@@H](OC1=CC=C(Cl)C=C1C)C(O)=O","-","4168","midnighter","published","inactive","-"
"CCN(CCCCO)N=O","-","4169","midnighter","published","active","-"
"CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1","-","4170","midnighter","published","inactive","-"
"O=N(=O)C1=CC=C2C3OC3C3=CC=CC4=C5C=CC=CC5=C1C2=C34","-","4171","midnighter","published","active","-"
"CCOC(=O)C(=C)C#N","-","4172","midnighter","published","inactive","-"
"OCCNC1=NC(=NC2=C1C=CC=C2)C1=CC=C(S1)N(=O)=O","-","4173","midnighter","published","active","-"
"CC1=CC=C(NN=NCC2=CC=C(C=C2)N(=O)=O)C=C1","-","4174","midnighter","published","active","-"
"CC(C)N=C=NC(C)C","-","4175","midnighter","published","inactive","-"
"NC1=CC=C(\C=C\C2=CC=C(Cl)C=C2)C=C1","-","4176","midnighter","published","active","-"
"N(C1=CC=CC=C1)C1=CC=CC2=C1C=CC=C2","-","4177","midnighter","published","inactive","-"
"NC(=O)C1=C(N=CN1)[N+]#N","-","4178","midnighter","published","active","-"
"C(OC1=CC=CC2=C1C=CC=C2)C1CO1","-","4179","midnighter","published","active","-"
"CC1=CC=C(C=C1S(O)(=O)=O)N=NC1=C(O)C=CC2=C1C=CC=C2","-","4180","midnighter","published","inactive","-"
"O=C1NC2(CCCCC2)C(=O)N1CCN1CC1","-","4181","midnighter","published","active","-"
"OC1C2OC2C2=C(C=CC3=C2C=CC=N3)C1O","-","4182","midnighter","published","inactive","-"
"OC[C@H](O)CCl","-","4183","midnighter","published","active","-"
"CC(C)CC(=O)O[C@H]1C=C2[C@H]([C@H](OC(=O)CC(C)C)OC=C2COC(C)=O)[C@@]11CO1","-","4184","midnighter","published","active","-"
"CC(=O)C1=CC=C(Cl)C(Cl)=C1Cl","-","4185","midnighter","published","active","-"
"CN1C(N)=NC2=C1C=CC=C2","-","4186","midnighter","published","active","-"
"OC1COC2(O)C1OC(=O)C2(O)CC1=CNC2=C1C=CC=C2","-","4187","midnighter","published","inactive","-"
"C1=CC2=CC3=C(C=CC=C3)C3=C2C1=CC=C3","-","4188","midnighter","published","active","-"
"O=CC1=CC=C2OCOC2=C1","-","4189","midnighter","published","inactive","-"
"COC1=CC=C2C(=C1)C(=O)C1=NC=CC3=C1C2=C1OCOC1=C3","-","4190","midnighter","published","active","-"
"CN(C)C1=CC=C(N=NC2=CC=CN=C2)C(NC(C)=O)=C1","-","4191","midnighter","published","inactive","-"
"CCN(CC)CCN1C2=CC=C(Cl)C=C2C(=NCC1=O)C1=CC=CC=C1F","-","4192","midnighter","published","inactive","-"
"OC(=O)CCCCCCCBr","-","4193","midnighter","published","active","-"
"NC1=CC=C(C=C1F)C1=CC=C(N)C(F)=C1","-","4194","midnighter","published","active","-"
"NC1=CC=CC=C1C(=O)OCCC1=CC=CC=C1","-","4195","midnighter","published","inactive","-"
"NC1=C(OC2=CC=CC=C2)C=C(O)C2=C1C(=O)C1=CC=CC=C1C2=O","-","4196","midnighter","published","active","-"
"CC1=CC=C(N=NC2=C(O)C=CC3=C2C=CC=C3)C(C)=C1","-","4197","midnighter","published","active","-"
"OCC1=C2C=CC3=CC=CC4=C3C2=C(C=C4)C2=C1C=CC=C2","-","4198","midnighter","published","active","-"
"CC1=CC2=C(C=CC=C2)C2=C1C=C1C(O)C(O)C=CC1=C2","-","4199","midnighter","published","active","-"
"NC1=CC2=NC3=C(C=C(Cl)C=C3)N=C2C=C1N","-","4200","midnighter","published","active","-"
"ClC1=CC=C(C=C1Cl)N=NC1=CC=C(Cl)C(Cl)=C1","-","4201","midnighter","published","inactive","-"
"NC1=CC=CC2=C1SN=C2Cl","-","4202","midnighter","published","active","-"
"C(OC1=CC=C2C=CC=CC2=C1)C1CO1","-","4203","midnighter","published","active","-"
"CN(C)CCN(C)N=O","-","4204","midnighter","published","active","-"
"CC1=CC=C2C(CC3=CC(C)=CC=C23)=C1","-","4205","midnighter","published","inactive","-"
"COC(=O)C1=CC=CC=C1","-","4206","midnighter","published","inactive","-"
"CN(CC1=CC=CC(=C1)C(F)(F)F)N=O","-","4207","midnighter","published","active","-"
"ClC1=CC=CC(C=O)=C1Cl","-","4208","midnighter","published","inactive","-"
"CCOC1=CC=C(NC(N)=O)C=C1","-","4209","midnighter","published","inactive","-"
"NC1=CC=C(CO)C(=C1)N(=O)=O","-","4210","midnighter","published","active","-"
"ON(C=O)C1=CC=C(Cl)C(Cl)=C1","-","4211","midnighter","published","inactive","-"
"C1=CC2=C3C(C=CC4=C3C=CC=C4)=CC3=C2C1=CC=C3","-","4112","midnighter","published","active","-"
"CC(=O)NC1=CC=CC2=C1C1=CC=CC=C1C2","-","4113","midnighter","published","active","-"
"CC1=C(C)C(Br)=C(Br)C(Br)=C1Br","-","4114","midnighter","published","inactive","-"
"NCC(=O)CCC(O)=O","-","4115","midnighter","published","active","-"
"COC1=CC=C(N(CCCl)CCCl)C2=C1C=C(O2)N(=O)=O","-","4116","midnighter","published","active","-"
"CC(=O)NC1=CC=C(OC2=CC=C(NO)C=C2)C=C1","-","4117","midnighter","published","active","-"
"CCN(CC)C(=S)SC1OC(CO)C(O)C(O)C1O","-","4118","midnighter","published","inactive","-"
"ON(C=O)C1=CC=CC=C1","-","4119","midnighter","published","inactive","-"
"CCOC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC","-","4120","midnighter","published","active","-"
"CN1C2=CC=C(Cl)C=C2N(C2=CC=CC=C2)C(=O)CC1=O","-","4121","midnighter","published","inactive","-"
"CC(=O)OCC(=O)[C@]1(CC[C@H]2[C@@H]3C[C@@H](F)C4=CC(=O)C(Br)=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)OC(C)=O","-","4122","midnighter","published","inactive","-"
"CC(=C)C(=O)OCCO","-","4123","midnighter","published","inactive","-"
"CC(C)NCC(O)COC1=CC=CC2=C1OCC(O)C2","-","4124","midnighter","published","inactive","-"
"NC1=NC(=O)N(C=C1)[C@@H]1CC[C@H](CO)O1","-","4125","midnighter","published","active","-"
"ClC1=CC=CC(=C1)C1=NC2=C(O1)C=CC=C2","-","4126","midnighter","published","inactive","-"
"NC1=CC=CC(O)=C1","-","4127","midnighter","published","active","-"
"CCOS(=O)(=O)C1=CC=CC=C1","-","4128","midnighter","published","active","-"
"COC1=CC=C(C=C1N=NC1=C(O)C(=CC2=C1C=CC=C2)C(=O)NC1=CC=CC(=C1)N(=O)=O)N(=O)=O","-","4129","midnighter","published","active","-"
"FC1=CC2=C(N=CC=C2)C2=C1C=CC=C2","-","4130","midnighter","published","active","-"
"N\N=C1/N=NC=C2C=CC=C[C@H]12","-","4131","midnighter","published","active","-"
"ClC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O","-","4132","midnighter","published","active","-"
"CCC(C)C","-","4133","midnighter","published","inactive","-"
"NC(CCN=[N+]=N)C(O)=O","-","4134","midnighter","published","active","-"
"CC1(C)C(CCC2(C)C1CCC1(C)C2C(=O)C=C2C3CC(C)(CCC3(C)CCC12C)C(O)=O)OC1OC(C(O)C(O)C1OC1OC(C(O)C(O)C1O)C(O)=O)C(O)=O","-","4135","midnighter","published","inactive","-"
"NNC1=NN=CC2=C1C=CN=C2","-","4136","midnighter","published","active","-"
"O=N(=O)C1=CC(=CC=C1)N(=O)=O","-","4137","midnighter","published","active","-"
"NC1=CC=CC2=C1C(=O)C1=CC=CC=C1C2=O","-","4138","midnighter","published","active","-"
"O=C(\N=C1/SN(C(=O)C2=CC=CC=C2N(=O)=O)C2=CC=C(C=C12)N(=O)=O)C1=CC=CC=C1N(=O)=O","-","4139","midnighter","published","active","-"
"OC1=C(Br)C=C(Br)C=C1C1=CC(Br)=CC(Br)=C1OP(O)(O)=O","-","4140","midnighter","published","inactive","-"
"CC1=CC(C)=C2N=C3C4=C(C=CC=C4)C=CC3=C(C)C2=C1","-","4141","midnighter","published","active","-"
"CCCC[C@@H](CC)COC(=O)C(C#N)=C(C1=CC=CC=C1)C1=CC=CC=C1","-","4142","midnighter","published","inactive","-"
"COC1=CC=C(C=N1)N=NC1=CC=C(C=C1)N(C)C","-","4143","midnighter","published","active","-"
"O=C1OC2=CC=CC3=C2C2=C(C=CC=C12)C=C3","-","4144","midnighter","published","inactive","-"
"NC1=N[C@@H](CS1)C(O)=O","-","4145","midnighter","published","inactive","-"
"IC1=CC=C(C=C1N(=O)=O)N(=O)=O","-","4146","midnighter","published","active","-"
"NC1=NC2=C(CCC3=NC=CC=C23)S1","-","4147","midnighter","published","active","-"
"CC1=CC=CC(O)=C1N","-","4148","midnighter","published","inactive","-"
"NC1=CC=C2C=CC3=C4C(C=CC1=C24)=C1C=CC=CC1=C3","-","4149","midnighter","published","active","-"
"O=N(=O)C1=CC(=C2NC3=C(C=C(N=C3)N(=O)=O)C2=C1)N(=O)=O","-","4150","midnighter","published","active","-"
"OCCOCCOCCO","-","4151","midnighter","published","active","-"
"CCCCCCCCOP(=O)(OCCCCCCCC)OCCCCCCCC","-","4152","midnighter","published","inactive","-"
"CCCCCCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCCCCCCC","-","4153","midnighter","published","inactive","-"
"CCCCCCCCCCCC(=O)NCCO","-","4154","midnighter","published","inactive","-"
"CC(C)C1=CC2=CCC3C(C)(CCCC3(C)C(O)=O)C2CC1","-","4155","midnighter","published","inactive","-"
"CC1=CC=CC2=C1C1=C3C(C=CC4=C3C(C=C1)=CC=C4)=C2","-","4156","midnighter","published","active","-"
"CNC1=CC=C(C=C1)N=NC1=CC=CC=C1","-","4157","midnighter","published","active","-"
"CC1=CC(N)=C(C)C(=C1N)N(=O)=O","-","4158","midnighter","published","active","-"
"CN(C)C(=O)NC1=CC=C(Cl)C=C1","-","4159","midnighter","published","inactive","-"
"O=N(=O)OC1COC2C(COC12)ON(=O)=O","-","4160","midnighter","published","inactive","-"
"CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N1C2CCCCC2CC1C(O)=O","-","4161","midnighter","published","inactive","-"
"CC1=CC=CC2=NC3=C(C=CC4=C3C=CC=C4)C=C12","-","4062","midnighter","published","active","-"
"O1C2C1C1=CC3=C(C=C1C1=CC=CC=C21)C1OC1C1=CC=CC=C31","-","4063","midnighter","published","active","-"
"BrC(Br)(Br)N(=O)=O","-","4064","midnighter","published","active","-"
"OCC1OC(CC1O)N1C=NC2=C1N=CN1C=CN=C21","-","4065","midnighter","published","inactive","-"
"CC(=C)C(=O)OCCOCCOCCOC(=O)C(C)=C","-","4066","midnighter","published","inactive","-"
"NC(=O)OC1CO1","-","4067","midnighter","published","active","-"
"ClC1=CC=CC(NS(=O)(=O)C2=CC=CC3=C2N=CC=C3)=C1","-","4068","midnighter","published","inactive","-"
"CN1C(C)=NC=C1N(=O)=O","-","4069","midnighter","published","active","-"
"CCOC1=CC=C(NC(C)=O)C=C1N","-","4070","midnighter","published","active","-"
"CN(C)CC1=CC=CC=C1","-","4071","midnighter","published","inactive","-"
"C[C@H]1OC=C2C(O)=C(C(O)=O)C(=O)C(C)=C2[C@@H]1C","-","4072","midnighter","published","inactive","-"
"CCCCCCCCCC\C=C\[C@H]1CC(=O)OC1=O","-","4073","midnighter","published","inactive","-"
