"SMILES","RECORDID","MOLECULEID","EXTERNALID","N","INTRODUCER","MODIFIER","log(IGC50-1) {measured}","UNIT {log(IGC50-1)}","log(IGC50-1) {measured, converted}","UNIT {log(IGC50-1)}","COMMENTS"
"CC1=CC(Cl)=C(N)C=C1","R33929","M12928","-","45","itetko","published","0.18","-log(mmol/L)","0.18","-log(mmol/L)","-"
"CCCCCC1=CC(O)=CC(O)=C1","R33930","M4622","-","46","itetko","published","1.31","-log(mmol/L)","1.31","-log(mmol/L)","-"
"COC1=CC=CC(O)=C1","R33931","M436","-","47","itetko","published","-0.33","-log(mmol/L)","-0.33","-log(mmol/L)","-"
"CCCCCCC1=C(O)C=C(O)C=C1","R33932","M12241","-","48","itetko","published","1.8","-log(mmol/L)","1.8","-log(mmol/L)","-"
"CC1=CC=C(Br)C=C1","R33933","M13995","-","49","itetko","published","0.47","-log(mmol/L)","0.47","-log(mmol/L)","-"
"COC1=CC=C(Cl)C=C1","R33934","M13747","-","50","itetko","published","0.6","-log(mmol/L)","0.6","-log(mmol/L)","-"
"OC1=CC(O)=CC=C1","R33935","M3218","-","51","itetko","published","-0.65","-log(mmol/L)","-0.65","-log(mmol/L)","-"
"BrC1=CC=CC=C1","R33936","M8977","-","52","itetko","published","0.08","-log(mmol/L)","0.08","-log(mmol/L)","-"
"OC1=CC=C(I)C=C1","R33937","M11943","-","53","itetko","published","0.85","-log(mmol/L)","0.85","-log(mmol/L)","-"
"NCCC1=CC=C(Cl)C=C1","R33938","M10608","-","54","itetko","published","0.14","-log(mmol/L)","0.14","-log(mmol/L)","-"
"NCC1=CC=C(Cl)C=C1","R33939","M13647","-","55","itetko","published","0.16","-log(mmol/L)","0.16","-log(mmol/L)","-"
"NC1=C(Cl)C=C(Cl)C=C1","R33940","M5772","-","56","itetko","published","0.56","-log(mmol/L)","0.56","-log(mmol/L)","-"
"NC1=CC(Cl)=CC=C1","R33941","M8696","-","57","itetko","published","0.22","-log(mmol/L)","0.22","-log(mmol/L)","-"
"CCCCCOC1=CC=C(C=O)C=C1","R33942","M13382","-","58","itetko","published","1.18","-log(mmol/L)","1.18","-log(mmol/L)","-"
"CC1=CC=C(C=C1)[N+]([O-])=O","R33943","M14295","-","59","itetko","published","0.65","-log(mmol/L)","0.65","-log(mmol/L)","-"
"CC(C)C1=CC=C(C=O)C=C1","R33944","M12604","-","60","itetko","published","0.67","-log(mmol/L)","0.67","-log(mmol/L)","-"
"CC1=C(C)C(=CC=C1)[N+]([O-])=O","R33945","M2949","-","61","itetko","published","0.56","-log(mmol/L)","0.56","-log(mmol/L)","-"
"OC1=CC(Cl)=CC=C1","R33946","M3973","-","62","itetko","published","0.87","-log(mmol/L)","0.87","-log(mmol/L)","-"
"CC1=CC(=CC=C1)[N+]([O-])=O","R33947","M9562","-","63","itetko","published","0.42","-log(mmol/L)","0.42","-log(mmol/L)","-"
"CC1=CC=CC=C1[N+]([O-])=O","R33948","M8648","-","64","itetko","published","0.26","-log(mmol/L)","0.26","-log(mmol/L)","-"
"BrC1=CC=C(Br)C=C1","R33949","M10710","-","65","itetko","published","0.68","-log(mmol/L)","0.68","-log(mmol/L)","-"
"O=CC1=CC=CC=C1","R33950","M4098","-","66","itetko","published","-0.2","-log(mmol/L)","-0.2","-log(mmol/L)","-"
"COC1=C(O)C=CC(C=O)=C1","R33951","M7075","-","67","itetko","published","-0.03","-log(mmol/L)","-0.03","-log(mmol/L)","-"
"OC1=C(Cl)C=C(Cl)C=C1","R33952","M3786","-","68","itetko","published","1.04","-log(mmol/L)","1.04","-log(mmol/L)","-"
"CCCCC(=O)C1=CC=CC=C1","R33953","M12996","-","69","itetko","published","0.56","-log(mmol/L)","0.56","-log(mmol/L)","-"
"CCCC(=O)C1=CC=CC=C1","R33954","M2566","-","70","itetko","published","0.21","-log(mmol/L)","0.21","-log(mmol/L)","-"
"CCCCCCC(=O)C1=CC=CC=C1","R33955","M11454","-","71","itetko","published","1.56","-log(mmol/L)","1.56","-log(mmol/L)","-"
"CC(=O)C1=CC=CC=C1","R33956","M5938","-","72","itetko","published","-0.46","-log(mmol/L)","-0.46","-log(mmol/L)","-"
"[O-][N+](=O)C1=CC=CC=C1","R33957","M6397","-","73","itetko","published","0.14","-log(mmol/L)","0.14","-log(mmol/L)","-"
"CCCCCCCC(=O)C1=CC=CC=C1","R33958","M10968","-","74","itetko","published","1.89","-log(mmol/L)","1.89","-log(mmol/L)","-"
"NC1=CC(=CC=C1)[N+]([O-])=O","R33959","M12971","-","75","itetko","published","0.03","-log(mmol/L)","0.03","-log(mmol/L)","-"
"NC1=CC(Cl)=CC(Cl)=C1","R33960","M11294","-","76","itetko","published","0.71","-log(mmol/L)","0.71","-log(mmol/L)","-"
"CC1=CC(Br)=CC(Cl)=C1O","R33961","M4313","-","77","itetko","published","1.28","-log(mmol/L)","1.28","-log(mmol/L)","-"
"O=C(C1=CC=CC=C1)C1=CC=CC=C1","R33962","M10090","-","78","itetko","published","0.87","-log(mmol/L)","0.87","-log(mmol/L)","-"
"[O-][N+](=O)C1=CC=C(CCl)C=C1","R33963","M5552","-","79","itetko","published","1.18","-log(mmol/L)","1.18","-log(mmol/L)","-"
"COC1=CC(O)=C(C=C1)C(C)=O","R33964","M11101","-","80","itetko","published","0.55","-log(mmol/L)","0.55","-log(mmol/L)","-"
"OC1=CC(Cl)=CC(Cl)=C1","R33965","M11881","-","81","itetko","published","1.56","-log(mmol/L)","1.56","-log(mmol/L)","-"
"ClC1=CC=C(C=O)C=C1","R33966","M521","-","82","itetko","published","0.4","-log(mmol/L)","0.4","-log(mmol/L)","-"
"ClC1=CC(Cl)=CC(Cl)=C1","R33967","M12993","-","83","itetko","published","0.87","-log(mmol/L)","0.87","-log(mmol/L)","-"
"NC1=CC(Cl)=C(Cl)C=C1Cl","R33968","M3513","-","84","itetko","published","1.3","-log(mmol/L)","1.3","-log(mmol/L)","-"
"BrC1=CC=C(C=C1)C(=O)C1=CC=CC=C1","R33969","M5515","-","85","itetko","published","1.26","-log(mmol/L)","1.26","-log(mmol/L)","-"
"OC1=C(Cl)C=C(Cl)C=C1Cl","R33970","M6189","-","86","itetko","published","1.41","-log(mmol/L)","1.41","-log(mmol/L)","-"
"COC1=C(O)C(Br)=CC(C=O)=C1","R33971","M5669","-","87","itetko","published","0.62","-log(mmol/L)","0.62","-log(mmol/L)","-"
"CCOC1=CC=C(C=C1)[N+]([O-])=O","R33972","M7655","-","88","itetko","published","0.83","-log(mmol/L)","0.83","-log(mmol/L)","-"
"CC1=C(C=C(Cl)C=C1)[N+]([O-])=O","R33973","M10572","-","89","itetko","published","0.82","-log(mmol/L)","0.82","-log(mmol/L)","-"
"OC1=C(Cl)C=C(Br)C=C1Cl","R33974","M5564","-","90","itetko","published","1.78","-log(mmol/L)","1.78","-log(mmol/L)","-"
"CC1=C(C=CC=C1Cl)[N+]([O-])=O","R33975","M12821","-","91","itetko","published","0.68","-log(mmol/L)","0.68","-log(mmol/L)","-"
"NC1=C(Cl)C(Cl)=CC(Cl)=C1Cl","R33976","M13801","-","92","itetko","published","1.76","-log(mmol/L)","1.76","-log(mmol/L)","-"
"[O-][N+](=O)C1=CC=CC(=C1)C#N","R33977","M10064","-","93","itetko","published","0.45","-log(mmol/L)","0.45","-log(mmol/L)","-"
"OC1=CC(Cl)=C(Cl)C=C1Cl","R33978","M6163","-","94","itetko","published","2.1","-log(mmol/L)","2.1","-log(mmol/L)","-"
"ClC1=CC(Cl)=C(Cl)C=C1Cl","R33979","M5003","-","95","itetko","published","2.0","-log(mmol/L)","2.0","-log(mmol/L)","-"
"[O-][N+](=O)C1=CC(Cl)=CC=C1","R33980","M5679","-","96","itetko","published","0.73","-log(mmol/L)","0.73","-log(mmol/L)","-"
"NC1=CC(Cl)=C(Cl)C(Cl)=C1Cl","R33981","M3067","-","97","itetko","published","1.96","-log(mmol/L)","1.96","-log(mmol/L)","-"
"OC1=C(Br)C=C(Br)C=C1Br","R33982","M1024","-","98","itetko","published","1.91","-log(mmol/L)","1.91","-log(mmol/L)","-"
"CC1=C(Br)C=CC(=C1)[N+]([O-])=O","R33983","M3841","-","99","itetko","published","1.16","-log(mmol/L)","1.16","-log(mmol/L)","-"
"OC1=CC(C=O)=C(C=C1)[N+]([O-])=O","R33984","M13043","-","100","itetko","published","0.33","-log(mmol/L)","0.33","-log(mmol/L)","-"
"CC1=C(O)C(Br)=C(Br)C(Br)=C1Br","R33985","M3182","-","101","itetko","published","2.57","-log(mmol/L)","2.57","-log(mmol/L)","-"
"OC1=C(Cl)C(Cl)=C(Cl)C=C1Cl","R33986","M11663","-","102","itetko","published","2.18","-log(mmol/L)","2.18","-log(mmol/L)","-"
"NC1=C(F)C(F)=C(F)C(F)=C1F","R33987","M7482","-","103","itetko","published","0.26","-log(mmol/L)","0.26","-log(mmol/L)","-"
"OC1=C(Br)C=C(Br)C=C1C=O","R33988","M5027","-","104","itetko","published","1.65","-log(mmol/L)","1.65","-log(mmol/L)","-"
"[O-][N+](=O)C1=CC(Cl)=CC(Cl)=C1","R33989","M9883","-","105","itetko","published","1.13","-log(mmol/L)","1.13","-log(mmol/L)","-"
"OC1=CC(=C(Cl)C=C1)[N+]([O-])=O","R33990","M5275","-","106","itetko","published","1.27","-log(mmol/L)","1.27","-log(mmol/L)","-"
"OC1=CC(Cl)=C(Cl)C(Cl)=C1Cl","R33991","M10057","-","107","itetko","published","2.72","-log(mmol/L)","2.72","-log(mmol/L)","-"
"NC(=S)C1=CC=CC=C1","R33992","M9162","-","108","itetko","published","0.09","-log(mmol/L)","0.09","-log(mmol/L)","-"
"NC1=CC(=C(F)C=C1)C(F)(F)F","R33993","M8539","-","109","itetko","published","0.77","-log(mmol/L)","0.77","-log(mmol/L)","-"
"[O-][N+](=O)C1=CC=CC=C1Cl","R33994","M719","-","110","itetko","published","0.68","-log(mmol/L)","0.68","-log(mmol/L)","-"
"[O-][N+](=O)C1=CC(=CC=C1)[N+]([O-])=O","R33995","M12162","-","111","itetko","published","0.76","-log(mmol/L)","0.76","-log(mmol/L)","-"
"CC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O","R33996","M9847","-","112","itetko","published","0.87","-log(mmol/L)","0.87","-log(mmol/L)","-"
"NC1=CC(Cl)=C(Cl)C=C1[N+]([O-])=O","R33997","M2885","-","113","itetko","published","1.66","-log(mmol/L)","1.66","-log(mmol/L)","-"
"OC1=C(F)C(F)=C(F)C(F)=C1F","R33998","M12792","-","114","itetko","published","1.63","-log(mmol/L)","1.63","-log(mmol/L)","-"
"[O-][N+](=O)C1=CC(Cl)=C(F)C=C1","R33999","M2163","-","115","itetko","published","0.8","-log(mmol/L)","0.8","-log(mmol/L)","-"
"[O-][N+](=O)C1=CC(Cl)=C(Cl)C=C1","R34000","M7578","-","116","itetko","published","1.16","-log(mmol/L)","1.16","-log(mmol/L)","-"
"[O-][N+](=O)C1=C(Cl)C=CC(Cl)=C1","R34001","M10175","-","117","itetko","published","1.13","-log(mmol/L)","1.13","-log(mmol/L)","-"
"[O-][N+](=O)C1=C(Cl)C=C(Cl)C=C1","R34002","M9442","-","118","itetko","published","0.99","-log(mmol/L)","0.99","-log(mmol/L)","-"
"S=C=NC1=CC=CC=C1","R34003","M9209","-","119","itetko","published","1.41","-log(mmol/L)","1.41","-log(mmol/L)","-"
"OC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F","R34004","M14055","-","120","itetko","published","1.65","-log(mmol/L)","1.65","-log(mmol/L)","-"
"OC1=C(I)C=C(C=C1I)[N+]([O-])=O","R34005","M11396","-","121","itetko","published","1.81","-log(mmol/L)","1.81","-log(mmol/L)","-"
"OC1=C(Cl)C=C(Cl)C=C1[N+]([O-])=O","R34006","M6566","-","122","itetko","published","1.75","-log(mmol/L)","1.75","-log(mmol/L)","-"
"[O-][N+](=O)C1=C(Cl)C(Cl)=C(Cl)C=C1","R34007","M743","-","123","itetko","published","1.51","-log(mmol/L)","1.51","-log(mmol/L)","-"
"FC1=C(F)C(F)=C(C=O)C(F)=C1F","R34008","M9204","-","124","itetko","published","0.82","-log(mmol/L)","0.82","-log(mmol/L)","-"
"[O-][N+](=O)C1=CC(=C(I)C=C1)[N+]([O-])=O","R34009","M2993","-","125","itetko","published","2.12","-log(mmol/L)","2.12","-log(mmol/L)","-"
"NC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O","R34010","M6549","-","126","itetko","published","0.72","-log(mmol/L)","0.72","-log(mmol/L)","-"
"[O-][N+](=O)C1=C(F)C(F)=C(F)C=C1","R34011","M404","-","127","itetko","published","1.89","-log(mmol/L)","1.89","-log(mmol/L)","-"
"[O-][N+](=O)C1=CC(Cl)=C(Cl)C=C1[N+]([O-])=O","R34012","M4394","-","128","itetko","published","2.21","-log(mmol/L)","2.21","-log(mmol/L)","-"
"CC1=CC(=CC(=C1O)[N+]([O-])=O)[N+]([O-])=O","R34013","M14504","-","129","itetko","published","1.73","-log(mmol/L)","1.73","-log(mmol/L)","-"
"CC(C)(C)C1=CC(=C(O)C(=C1)[N+]([O-])=O)[N+]([O-])=O","R34014","M7359","-","130","itetko","published","1.8","-log(mmol/L)","1.8","-log(mmol/L)","-"
"[O-][N+](=O)C1=CC(=C(Br)C=C1)[N+]([O-])=O","R34015","M8430","-","131","itetko","published","2.31","-log(mmol/L)","2.31","-log(mmol/L)","-"
"OC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O","R34016","M11008","-","132","itetko","published","1.06","-log(mmol/L)","1.06","-log(mmol/L)","-"
"[O-][N+](=O)C1=CC(Cl)=CC(Cl)=C1[N+]([O-])=O","R34017","M7776","-","133","itetko","published","2.42","-log(mmol/L)","2.42","-log(mmol/L)","-"
"[O-][N+](=O)C1=C(F)C(F)=C(F)C=C1F","R34018","M2513","-","134","itetko","published","1.87","-log(mmol/L)","1.87","-log(mmol/L)","-"
"OC1=C(C=CC=C1[N+]([O-])=O)[N+]([O-])=O","R34019","M4920","-","135","itetko","published","0.83","-log(mmol/L)","0.83","-log(mmol/L)","-"
"[O-][N+](=O)C1=CC(=C(Cl)C=C1)[N+]([O-])=O","R34020","M12088","-","136","itetko","published","2.16","-log(mmol/L)","2.16","-log(mmol/L)","-"
"[O-][N+](=O)C1=CC(=C(F)C=C1)[N+]([O-])=O","R34021","M6333","-","137","itetko","published","1.71","-log(mmol/L)","1.71","-log(mmol/L)","-"
"[O-][N+](=O)C1=C(F)C(F)=C(F)C(F)=C1F","R34022","M4532","-","138","itetko","published","2.43","-log(mmol/L)","2.43","-log(mmol/L)","-"
"[O-][N+](=O)C1=C(Cl)C(Cl)=C(C(Cl)=C1Cl)[N+]([O-])=O","R34023","M791","-","139","itetko","published","2.82","-log(mmol/L)","2.82","-log(mmol/L)","-"
"[O-][N+](=O)C1=CC(=C(F)C=C1F)[N+]([O-])=O","R34024","M11722","-","140","itetko","published","2.08","-log(mmol/L)","2.08","-log(mmol/L)","-"
"[O-][N+](=O)C1=CC(Cl)=C(Cl)C(=C1Cl)[N+]([O-])=O","R34025","M7877","-","141","itetko","published","2.6","-log(mmol/L)","2.6","-log(mmol/L)","-"
"[O-][N+](=O)C1=C(Cl)C(=C(Cl)C=C1Cl)[N+]([O-])=O","R34026","M938","-","142","itetko","published","2.19","-log(mmol/L)","2.19","-log(mmol/L)","-"
"[O-][N+](=O)C1=CC(=CC(=C1Cl)[N+]([O-])=O)C#N","R34027","M10254","-","143","itetko","published","2.66","-log(mmol/L)","2.66","-log(mmol/L)","-"
"CC1=CC=C(CO)C=C1","R34028","M5699","-","144","itetko","published","-0.49","-log(mmol/L)","-0.49","-log(mmol/L)","-"
"CCCC(O)CC1=CC=CC=C1","R34029","M2492","-","145","itetko","published","0.16","-log(mmol/L)","0.16","-log(mmol/L)","-"
"CC1=CC=C(CCN)C=C1","R34030","M11765","-","146","itetko","published","-0.04","-log(mmol/L)","-0.04","-log(mmol/L)","-"
"CC1=CC=C(CN)C=C1","R34031","M3935","-","147","itetko","published","-0.01","-log(mmol/L)","-0.01","-log(mmol/L)","-"
"OCC=CC1=CC=CC=C1","R34032","M8114","-","148","itetko","published","-0.08","-log(mmol/L)","-0.08","-log(mmol/L)","-"
"CC(C)(C)C1=CC=C(CO)C=C1","R34033","M2946","-","149","itetko","published","0.48","-log(mmol/L)","0.48","-log(mmol/L)","-"
"CC1=CC=C(CCO)C=C1","R34034","M1805","-","150","itetko","published","-0.26","-log(mmol/L)","-0.26","-log(mmol/L)","-"
"CC1=CC=CC=C1CO","R34035","M13137","-","151","itetko","published","-0.43","-log(mmol/L)","-0.43","-log(mmol/L)","-"
"CCC(O)C1=CC=CC=C1","R34036","M2391","-","152","itetko","published","-0.43","-log(mmol/L)","-0.43","-log(mmol/L)","-"
"CC(CO)C1=CC=CC=C1","R34037","M9887","-","153","itetko","published","-0.4","-log(mmol/L)","-0.4","-log(mmol/L)","-"
"CC(C)(O)C1=CC=CC=C1","R34038","M679","-","154","itetko","published","-0.57","-log(mmol/L)","-0.57","-log(mmol/L)","-"
"OC(C1=CC=CC=C1)C1=CC=CC=C1","R34039","M9158","-","155","itetko","published","0.5","-log(mmol/L)","0.5","-log(mmol/L)","-"
"ON=CC1=CC=CC=C1","R34040","M11976","-","156","itetko","published","-0.11","-log(mmol/L)","-0.11","-log(mmol/L)","-"
"CC(C)(C)C1=CC=C(N)C=C1","R34041","M12541","-","157","itetko","published","0.36","-log(mmol/L)","0.36","-log(mmol/L)","-"
"CC1=CC(C)=C(N)C=C1","R34042","M1791","-","158","itetko","published","-0.29","-log(mmol/L)","-0.29","-log(mmol/L)","-"
"CCC(C)C1=CC=C(N)C=C1","R34043","M7639","-","159","itetko","published","0.61","-log(mmol/L)","0.61","-log(mmol/L)","-"
"CC1=C(C)C(N)=CC=C1","R34044","M12003","-","160","itetko","published","-0.43","-log(mmol/L)","-0.43","-log(mmol/L)","-"
"N#CCC1=CC=CC=C1","R34045","M10676","-","161","itetko","published","-0.36","-log(mmol/L)","-0.36","-log(mmol/L)","-"
"CC(C#N)C1=CC=CC=C1","R34046","M7621","-","162","itetko","published","0.01","-log(mmol/L)","0.01","-log(mmol/L)","-"
"CCNC1=CC=CC=C1","R34047","M7977","-","163","itetko","published","0.07","-log(mmol/L)","0.07","-log(mmol/L)","-"
"CNC1=CC=CC=C1","R34048","M107","-","164","itetko","published","0.06","-log(mmol/L)","0.06","-log(mmol/L)","-"
"CC(C)(C)C1=CC(N)=C(O)C=C1","R34049","M9931","-","165","itetko","published","0.37","-log(mmol/L)","0.37","-log(mmol/L)","-"
"COC1=CC=CC=C1N","R34050","M11807","-","166","itetko","published","-0.69","-log(mmol/L)","-0.69","-log(mmol/L)","-"
"C1=CC=C(C=C1)C1=CN=CC=C1","R34051","M3861","-","167","itetko","published","0.47","-log(mmol/L)","0.47","-log(mmol/L)","-"
"NC1=CC=CC=C1CO","R34052","M12067","-","168","itetko","published","-1.07","-log(mmol/L)","-1.07","-log(mmol/L)","-"
"C(C1=CC=CC=C1)C1=CC=CC=N1","R34053","M8443","-","169","itetko","published","0.38","-log(mmol/L)","0.38","-log(mmol/L)","-"
"C(C1=CC=CC=C1)C1=CC=NC=C1","R34054","M1826","-","170","itetko","published","0.63","-log(mmol/L)","0.63","-log(mmol/L)","-"
"CC1=C(C)C=C(O)C=C1","R34055","M13431","-","171","itetko","published","0.12","-log(mmol/L)","0.12","-log(mmol/L)","-"
"CC(C)(C)C1=CC(O)=CC=C1","R34056","M1745","-","172","itetko","published","0.74","-log(mmol/L)","0.74","-log(mmol/L)","-"
"CC1=CC(C)=C(O)C(=C1)C(C)(C)C","R34057","M8143","-","173","itetko","published","1.16","-log(mmol/L)","1.16","-log(mmol/L)","-"
"CC(C)C1=CC=C(O)C=C1","R34058","M13731","-","174","itetko","published","0.47","-log(mmol/L)","0.47","-log(mmol/L)","-"
"CC(C)C1=CC(O)=CC=C1","R34059","M11780","-","175","itetko","published","0.61","-log(mmol/L)","0.61","-log(mmol/L)","-"
"CC1=C(C)C(O)=CC=C1","R34060","M9473","-","176","itetko","published","0.12","-log(mmol/L)","0.12","-log(mmol/L)","-"
"CC(C)C1=CC=CC=C1O","R34061","M1577","-","177","itetko","published","0.61","-log(mmol/L)","0.61","-log(mmol/L)","-"
"CN(C)CC1=CC(CN(C)C)=C(O)C(CN(C)C)=C1","R34062","M147","-","178","itetko","published","-0.52","-log(mmol/L)","-0.52","-log(mmol/L)","-"
"NC1=CC=CC=C1F","R34063","M2917","-","179","itetko","published","-0.37","-log(mmol/L)","-0.37","-log(mmol/L)","-"
"NC1=CC=C(CC#N)C=C1","R34064","M13438","-","180","itetko","published","-0.76","-log(mmol/L)","-0.76","-log(mmol/L)","-"
"N#CC=CC1=CC=CC=C1","R34065","M14459","-","181","itetko","published","0.16","-log(mmol/L)","0.16","-log(mmol/L)","-"
"OCC1=CC(F)=CC=C1","R34066","M9041","-","182","itetko","published","-0.39","-log(mmol/L)","-0.39","-log(mmol/L)","-"
"NC1=CC=CC(=C1)C#N","R34067","M7374","-","183","itetko","published","-0.47","-log(mmol/L)","-0.47","-log(mmol/L)","-"
"NC1=CC(F)=CC=C1","R34068","M9559","-","184","itetko","published","-0.1","-log(mmol/L)","-0.1","-log(mmol/L)","-"
"CCC1=C(Cl)C=CC(O)=C1","R34069","M2317","-","185","itetko","published","1.08","-log(mmol/L)","1.08","-log(mmol/L)","-"
